passenger_id,pclass,survived,name,sex,age,ticket,fare,embarked
331,2,0,Bailey. Mr. Percy Andrew,0,18.0,29108,11.5,0
332,2,0,Baimbrigge. Mr. Charles Robert,0,23.0,C.A. 31030,10.5,0
333,2,1,Ball. Mrs. (Ada E Hall),1,36.0,28551,13.0,0
334,2,0,Banfield. Mr. Frederick James,0,28.0,C.A./SOTON 34068,10.5,0
335,2,0,Bateman. Rev. Robert James,0,51.0,S.O.P. 1166,12.525,0
336,2,1,Beane. Mr. Edward,0,32.0,2908,26.0,0
337,2,1,Beane. Mrs. Edward (Ethel Clarke),1,19.0,2908,26.0,0
338,2,0,Beauchamp. Mr. Henry James,0,28.0,244358,26.0,0
339,2,1,Becker. Master. Richard F,0,1.0,230136,39.0,0
340,2,1,Becker. Miss. Marion Louise,1,4.0,230136,39.0,0
341,2,1,Becker. Miss. Ruth Elizabeth,1,12.0,230136,39.0,0
342,2,1,Becker. Mrs. Allen Oliver (Nellie E Baumgardner),1,36.0,230136,39.0,0
343,2,1,Beesley. Mr. Lawrence,0,34.0,248698,13.0,0
344,2,1,Bentham. Miss. Lilian W,1,19.0,28404,13.0,0
345,2,0,Berriman. Mr. William John,0,23.0,28425,13.0,0
346,2,0,Botsford. Mr. William Hull,0,26.0,237670,13.0,0
347,2,0,Bowenur. Mr. Solomon,0,42.0,211535,13.0,0
348,2,0,Bracken. Mr. James H,0,27.0,220367,13.0,0
349,2,1,"Brown. Miss. Amelia ""Mildred""",1,24.0,248733,13.0,0
350,2,1,Brown. Miss. Edith Eileen,1,15.0,29750,39.0,0
351,2,0,Brown. Mr. Thomas William Solomon,0,60.0,29750,39.0,0
352,2,1,Brown. Mrs. Thomas William Solomon (Elizabeth Catherine Ford),1,40.0,29750,39.0,0
353,2,1,Bryhl. Miss. Dagmar Jenny Ingeborg ,1,20.0,236853,26.0,0
354,2,0,Bryhl. Mr. Kurt Arnold Gottfrid,0,25.0,236853,26.0,0
355,2,1,Buss. Miss. Kate,1,36.0,27849,13.0,0
356,2,0,Butler. Mr. Reginald Fenton,0,25.0,234686,13.0,0
357,2,0,Byles. Rev. Thomas Roussel Davids,0,42.0,244310,13.0,0
358,2,1,Bystrom. Mrs. (Karolina),1,42.0,236852,13.0,0
359,2,1,Caldwell. Master. Alden Gates,0,0.8333,248738,29.0,0
360,2,1,Caldwell. Mr. Albert Francis,0,26.0,248738,29.0,0
361,2,1,Caldwell. Mrs. Albert Francis (Sylvia Mae Harbaugh),1,22.0,248738,29.0,0
362,2,1,Cameron. Miss. Clear Annie,1,35.0,F.C.C. 13528,21.0,0
363,2,0,Campbell. Mr. William,0,29.8811345124283,239853,0.0,0
364,2,0,Carbines. Mr. William,0,19.0,28424,13.0,0
365,2,0,Carter. Mrs. Ernest Courtenay (Lilian Hughes),1,44.0,244252,26.0,0
366,2,0,Carter. Rev. Ernest Courtenay,0,54.0,244252,26.0,0
367,2,0,Chapman. Mr. Charles Henry,0,52.0,248731,13.5,0
368,2,0,Chapman. Mr. John Henry,0,37.0,SC/AH 29037,26.0,0
369,2,0,Chapman. Mrs. John Henry (Sara Elizabeth Lawry),1,29.0,SC/AH 29037,26.0,0
370,2,1,Christy. Miss. Julie Rachel,1,25.0,237789,30.0,0
371,2,1,Christy. Mrs. (Alice Frances),1,45.0,237789,30.0,0
372,2,0,Clarke. Mr. Charles Valentine,0,29.0,2003,26.0,0
373,2,1,Clarke. Mrs. Charles V (Ada Maria Winfield),1,28.0,2003,26.0,0
374,2,0,Coleridge. Mr. Reginald Charles,0,29.0,W./C. 14263,10.5,0
375,2,0,Collander. Mr. Erik Gustaf,0,28.0,248740,13.0,0
376,2,1,Collett. Mr. Sidney C Stuart,0,24.0,28034,10.5,0
377,2,1,"Collyer. Miss. Marjorie ""Lottie""",1,8.0,C.A. 31921,26.25,0
378,2,0,Collyer. Mr. Harvey,0,31.0,C.A. 31921,26.25,0
379,2,1,Collyer. Mrs. Harvey (Charlotte Annie Tate),1,31.0,C.A. 31921,26.25,0
380,2,1,Cook. Mrs. (Selena Rogers),1,22.0,W./C. 14266,10.5,0
381,2,0,Corbett. Mrs. Walter H (Irene Colvin),1,30.0,237249,13.0,0
382,2,0,Corey. Mrs. Percy C (Mary Phyllis Elizabeth Miller),1,29.8811345124283,F.C.C. 13534,21.0,0
383,2,0,"Cotterill. Mr. Henry ""Harry""",0,21.0,29107,11.5,0
384,2,0,Cunningham. Mr. Alfred Fleming,0,29.8811345124283,239853,0.0,0
385,2,1,Davies. Master. John Morgan Jr,0,8.0,C.A. 33112,36.75,0
386,2,0,Davies. Mr. Charles Henry,0,18.0,S.O.C. 14879,73.5,0
387,2,1,Davies. Mrs. John Morgan (Elizabeth Agnes Mary White) ,1,48.0,C.A. 33112,36.75,0
388,2,1,Davis. Miss. Mary,1,28.0,237668,13.0,0
389,2,0,de Brito. Mr. Jose Joaquim,0,32.0,244360,13.0,0
390,2,0,Deacon. Mr. Percy William,0,17.0,S.O.C. 14879,73.5,0
391,2,0,del Carlo. Mr. Sebastiano,0,29.0,SC/PARIS 2167,27.7208,1
392,2,1,del Carlo. Mrs. Sebastiano (Argenia Genovesi),1,24.0,SC/PARIS 2167,27.7208,1
393,2,0,Denbury. Mr. Herbert,0,25.0,C.A. 31029,31.5,0
394,2,0,Dibden. Mr. William,0,18.0,S.O.C. 14879,73.5,0
395,2,1,Doling. Miss. Elsie,1,18.0,231919,23.0,0
396,2,1,Doling. Mrs. John T (Ada Julia Bone),1,34.0,231919,23.0,0
397,2,0,Downton. Mr. William James,0,54.0,28403,26.0,0
398,2,1,Drew. Master. Marshall Brines,0,8.0,28220,32.5,0
399,2,0,Drew. Mr. James Vivian,0,42.0,28220,32.5,0
400,2,1,Drew. Mrs. James Vivian (Lulu Thorne Christian),1,34.0,28220,32.5,0
401,2,1,Duran y More. Miss. Asuncion,1,27.0,SC/PARIS 2149,13.8583,1
402,2,1,Duran y More. Miss. Florentina,1,30.0,SC/PARIS 2148,13.8583,1
403,2,0,Eitemiller. Mr. George Floyd,0,23.0,29751,13.0,0
404,2,0,Enander. Mr. Ingvar,0,21.0,236854,13.0,0
405,2,0,Fahlstrom. Mr. Arne Jonas,0,18.0,236171,13.0,0
406,2,0,Faunthorpe. Mr. Harry,0,40.0,2926,26.0,0
407,2,1,Faunthorpe. Mrs. Lizzie (Elizabeth Anne Wilkinson),1,29.0,2926,26.0,0
408,2,0,Fillbrook. Mr. Joseph Charles,0,18.0,C.A. 15185,10.5,0
409,2,0,Fox. Mr. Stanley Hubert,0,36.0,229236,13.0,0
410,2,0,"Frost. Mr. Anthony Wood ""Archie""",0,29.8811345124283,239854,0.0,0
411,2,0,Funk. Miss. Annie Clemmer,1,38.0,237671,13.0,0
412,2,0,Fynney. Mr. Joseph J,0,35.0,239865,26.0,0
413,2,0,Gale. Mr. Harry,0,38.0,28664,21.0,0
414,2,0,Gale. Mr. Shadrach,0,34.0,28664,21.0,0
415,2,1,Garside. Miss. Ethel,1,34.0,243880,13.0,0
416,2,0,Gaskell. Mr. Alfred,0,16.0,239865,26.0,0
417,2,0,Gavey. Mr. Lawrence,0,26.0,31028,10.5,0
418,2,0,Gilbert. Mr. William,0,47.0,C.A. 30769,10.5,0
419,2,0,Giles. Mr. Edgar,0,21.0,28133,11.5,0
420,2,0,Giles. Mr. Frederick Edward,0,21.0,28134,11.5,0
421,2,0,Giles. Mr. Ralph,0,24.0,248726,13.5,0
422,2,0,Gill. Mr. John William,0,24.0,233866,13.0,0
423,2,0,Gillespie. Mr. William Henry,0,34.0,12233,13.0,0
424,2,0,Givard. Mr. Hans Kristensen,0,30.0,250646,13.0,0
425,2,0,Greenberg. Mr. Samuel,0,52.0,250647,13.0,0
426,2,0,Hale. Mr. Reginald,0,30.0,250653,13.0,0
427,2,1,Hamalainen. Master. Viljo,0,0.6667,250649,14.5,0
428,2,1,Hamalainen. Mrs. William (Anna),1,24.0,250649,14.5,0
429,2,0,Harbeck. Mr. William H,0,44.0,248746,13.0,0
430,2,1,"Harper. Miss. Annie Jessie ""Nina""",1,6.0,248727,33.0,0
431,2,0,Harper. Rev. John,0,28.0,248727,33.0,0
432,2,1,Harris. Mr. George,0,62.0,S.W./PP 752,10.5,0
433,2,0,Harris. Mr. Walter,0,30.0,W/C 14208,10.5,0
434,2,1,Hart. Miss. Eva Miriam,1,7.0,F.C.C. 13529,26.25,0
435,2,0,Hart. Mr. Benjamin,0,43.0,F.C.C. 13529,26.25,0
436,2,1,Hart. Mrs. Benjamin (Esther Ada Bloomfield),1,45.0,F.C.C. 13529,26.25,0
437,2,1,Herman. Miss. Alice,1,24.0,220845,65.0,0
438,2,1,Herman. Miss. Kate,1,24.0,220845,65.0,0
439,2,0,Herman. Mr. Samuel,0,49.0,220845,65.0,0
440,2,1,Herman. Mrs. Samuel (Jane Laver),1,48.0,220845,65.0,0
441,2,1,Hewlett. Mrs. (Mary D Kingcome) ,1,55.0,248706,16.0,0
442,2,0,Hickman. Mr. Leonard Mark,0,24.0,S.O.C. 14879,73.5,0
443,2,0,Hickman. Mr. Lewis,0,32.0,S.O.C. 14879,73.5,0
444,2,0,Hickman. Mr. Stanley George,0,21.0,S.O.C. 14879,73.5,0
445,2,0,Hiltunen. Miss. Marta,1,18.0,250650,13.0,0
446,2,1,"Hocking. Miss. Ellen ""Nellie""",1,20.0,29105,23.0,0
447,2,0,Hocking. Mr. Richard George,0,23.0,29104,11.5,0
448,2,0,Hocking. Mr. Samuel James Metcalfe,0,36.0,242963,13.0,0
449,2,1,Hocking. Mrs. Elizabeth (Eliza Needs),1,54.0,29105,23.0,0
450,2,0,Hodges. Mr. Henry Price,0,50.0,250643,13.0,0
451,2,0,Hold. Mr. Stephen,0,44.0,26707,26.0,0
452,2,1,Hold. Mrs. Stephen (Annie Margaret Hill),1,29.0,26707,26.0,0
453,2,0,Hood. Mr. Ambrose Jr,0,21.0,S.O.C. 14879,73.5,0
454,2,1,Hosono. Mr. Masabumi,0,42.0,237798,13.0,0
455,2,0,Howard. Mr. Benjamin,0,63.0,24065,26.0,0
456,2,0,Howard. Mrs. Benjamin (Ellen Truelove Arman),1,60.0,24065,26.0,0
457,2,0,Hunt. Mr. George Henry,0,33.0,SCO/W 1585,12.275,0
458,2,1,Ilett. Miss. Bertha,1,17.0,SO/C 14885,10.5,0
459,2,0,Jacobsohn. Mr. Sidney Samuel,0,42.0,243847,27.0,0
460,2,1,Jacobsohn. Mrs. Sidney Samuel (Amy Frances Christy),1,24.0,243847,27.0,0
461,2,0,Jarvis. Mr. John Denzil,0,47.0,237565,15.0,0
462,2,0,Jefferys. Mr. Clifford Thomas,0,24.0,C.A. 31029,31.5,0
463,2,0,Jefferys. Mr. Ernest Wilfred,0,22.0,C.A. 31029,31.5,0
464,2,0,Jenkin. Mr. Stephen Curnow,0,32.0,C.A. 33111,10.5,0
465,2,1,Jerwan. Mrs. Amin S (Marie Marthe Thuillard),1,23.0,SC/AH Basle 541,13.7917,1
466,2,0,Kantor. Mr. Sinai,0,34.0,244367,26.0,0
467,2,1,Kantor. Mrs. Sinai (Miriam Sternin),1,24.0,244367,26.0,0
468,2,0,Karnes. Mrs. J Frank (Claire Bennett),1,22.0,F.C.C. 13534,21.0,0
469,2,1,Keane. Miss. Nora A,1,29.8811345124283,226593,12.35,2
470,2,0,Keane. Mr. Daniel,0,35.0,233734,12.35,2
471,2,1,"Kelly. Mrs. Florence ""Fannie""",1,45.0,223596,13.5,0
472,2,0,Kirkland. Rev. Charles Leonard,0,57.0,219533,12.35,2
473,2,0,Knight. Mr. Robert J,0,29.8811345124283,239855,0.0,0
474,2,0,Kvillner. Mr. Johan Henrik Johannesson,0,31.0,C.A. 18723,10.5,0
475,2,0,Lahtinen. Mrs. William (Anna Sylfven),1,26.0,250651,26.0,0
476,2,0,Lahtinen. Rev. William,0,30.0,250651,26.0,0
477,2,0,Lamb. Mr. John Joseph,0,29.8811345124283,240261,10.7083,2
478,2,1,Laroche. Miss. Louise,1,1.0,SC/Paris 2123,41.5792,1
479,2,1,Laroche. Miss. Simonne Marie Anne Andree,1,3.0,SC/Paris 2123,41.5792,1
480,2,0,Laroche. Mr. Joseph Philippe Lemercier,0,25.0,SC/Paris 2123,41.5792,1
481,2,1,Laroche. Mrs. Joseph (Juliette Marie Louise Lafargue),1,22.0,SC/Paris 2123,41.5792,1
482,2,1,Lehmann. Miss. Bertha,1,17.0,SC 1748,12.0,1
483,2,1,Leitch. Miss. Jessie Wills,1,29.8811345124283,248727,33.0,0
484,2,1,Lemore. Mrs. (Amelia Milley),1,34.0,C.A. 34260,10.5,0
485,2,0,Levy. Mr. Rene Jacques,0,36.0,SC/Paris 2163,12.875,1
486,2,0,Leyson. Mr. Robert William Norman,0,24.0,C.A. 29566,10.5,0
487,2,0,Lingane. Mr. John,0,61.0,235509,12.35,2
488,2,0,Louch. Mr. Charles Alexander,0,50.0,SC/AH 3085,26.0,0
489,2,1,Louch. Mrs. Charles Alexander (Alice Adelaide Slow),1,42.0,SC/AH 3085,26.0,0
490,2,0,Mack. Mrs. (Mary),1,57.0,S.O./P.P. 3,10.5,0
491,2,0,Malachard. Mr. Noel,0,29.8811345124283,237735,15.0458,1
492,2,1,Mallet. Master. Andre,0,1.0,S.C./PARIS 2079,37.0042,1
493,2,0,Mallet. Mr. Albert,0,31.0,S.C./PARIS 2079,37.0042,1
494,2,1,Mallet. Mrs. Albert (Antoinette Magnin),1,24.0,S.C./PARIS 2079,37.0042,1
495,2,0,Mangiavacchi. Mr. Serafino Emilio,0,29.8811345124283,SC/A.3 2861,15.5792,1
496,2,0,Matthews. Mr. William John,0,30.0,28228,13.0,0
497,2,0,Maybery. Mr. Frank Hubert,0,40.0,239059,16.0,0
498,2,0,McCrae. Mr. Arthur Gordon,0,32.0,237216,13.5,0
499,2,0,McCrie. Mr. James Matthew,0,30.0,233478,13.0,0
500,2,0,McKane. Mr. Peter David,0,46.0,28403,26.0,0
501,2,1,Mellinger. Miss. Madeleine Violet,1,13.0,250644,19.5,0
502,2,1,Mellinger. Mrs. (Elizabeth Anne Maidment),1,41.0,250644,19.5,0
503,2,1,Mellors. Mr. William John,0,19.0,SW/PP 751,10.5,0
504,2,0,Meyer. Mr. August,0,39.0,248723,13.0,0
505,2,0,Milling. Mr. Jacob Christian,0,48.0,234360,13.0,0
506,2,0,Mitchell. Mr. Henry Michael,0,70.0,C.A. 24580,10.5,0
507,2,0,Montvila. Rev. Juozas,0,27.0,211536,13.0,0
508,2,0,Moraweck. Dr. Ernest,0,54.0,29011,14.0,0
509,2,0,"Morley. Mr. Henry Samuel (""Mr Henry Marshall"")",0,39.0,250655,26.0,0
510,2,0,Mudd. Mr. Thomas Charles,0,16.0,S.O./P.P. 3,10.5,0
511,2,0,Myles. Mr. Thomas Francis,0,62.0,240276,9.6875,2
512,2,0,Nasser. Mr. Nicholas,0,32.5,237736,30.0708,1
513,2,1,Nasser. Mrs. Nicholas (Adele Achem),1,14.0,237736,30.0708,1
514,2,1,Navratil. Master. Edmond Roger,0,2.0,230080,26.0,0
515,2,1,Navratil. Master. Michel M,0,3.0,230080,26.0,0
516,2,0,"Navratil. Mr. Michel (""Louis M Hoffman"")",0,36.5,230080,26.0,0
517,2,0,Nesson. Mr. Israel,0,26.0,244368,13.0,0
518,2,0,Nicholls. Mr. Joseph Charles,0,19.0,C.A. 33112,36.75,0
519,2,0,Norman. Mr. Robert Douglas,0,28.0,218629,13.5,0
520,2,1,"Nourney. Mr. Alfred (""Baron von Drachstedt"")",0,20.0,SC/PARIS 2166,13.8625,1
521,2,1,Nye. Mrs. (Elizabeth Ramell),1,29.0,C.A. 29395,10.5,0
522,2,0,Otter. Mr. Richard,0,39.0,28213,13.0,0
523,2,1,Oxenham. Mr. Percy Thomas,0,22.0,W./C. 14260,10.5,0
524,2,1,Padro y Manent. Mr. Julian,0,29.8811345124283,SC/PARIS 2146,13.8625,1
525,2,0,Pain. Dr. Alfred,0,23.0,244278,10.5,0
526,2,1,Pallas y Castello. Mr. Emilio,0,29.0,SC/PARIS 2147,13.8583,1
527,2,0,Parker. Mr. Clifford Richard,0,28.0,SC 14888,10.5,0
528,2,0,"Parkes. Mr. Francis ""Frank""",0,29.8811345124283,239853,0.0,0
529,2,1,Parrish. Mrs. (Lutie Davis),1,50.0,230433,26.0,0
530,2,0,Pengelly. Mr. Frederick William,0,19.0,28665,10.5,0
531,2,0,Pernot. Mr. Rene,0,29.8811345124283,SC/PARIS 2131,15.05,1
532,2,0,Peruschitz. Rev. Joseph Maria,0,41.0,237393,13.0,0
533,2,1,Phillips. Miss. Alice Frances Louisa,1,21.0,S.O./P.P. 2,21.0,0
534,2,1,"Phillips. Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",1,19.0,250655,26.0,0
535,2,0,Phillips. Mr. Escott Robert,0,43.0,S.O./P.P. 2,21.0,0
536,2,1,Pinsky. Mrs. (Rosa),1,32.0,234604,13.0,0
537,2,0,Ponesell. Mr. Martin,0,34.0,250647,13.0,0
538,2,1,Portaluppi. Mr. Emilio Ilario Giuseppe,0,30.0,C.A. 34644,12.7375,1
539,2,0,Pulbaum. Mr. Franz,0,27.0,SC/PARIS 2168,15.0333,1
540,2,1,Quick. Miss. Phyllis May,1,2.0,26360,26.0,0
541,2,1,Quick. Miss. Winifred Vera,1,8.0,26360,26.0,0
542,2,1,Quick. Mrs. Frederick Charles (Jane Richards),1,33.0,26360,26.0,0
543,2,0,Reeves. Mr. David,0,36.0,C.A. 17248,10.5,0
544,2,0,Renouf. Mr. Peter Henry,0,34.0,31027,21.0,0
545,2,1,Renouf. Mrs. Peter Henry (Lillian Jefferys),1,30.0,31027,21.0,0
546,2,1,Reynaldo. Ms. Encarnacion,1,28.0,230434,13.0,0
547,2,0,Richard. Mr. Emile,0,23.0,SC/PARIS 2133,15.0458,1
548,2,1,Richards. Master. George Sibley,0,0.8333,29106,18.75,0
549,2,1,Richards. Master. William Rowe,0,3.0,29106,18.75,0
550,2,1,Richards. Mrs. Sidney (Emily Hocking),1,24.0,29106,18.75,0
551,2,1,Ridsdale. Miss. Lucy,1,50.0,W./C. 14258,10.5,0
552,2,0,Rogers. Mr. Reginald Harry,0,19.0,28004,10.5,0
553,2,1,Rugg. Miss. Emily,1,21.0,C.A. 31026,10.5,0
554,2,0,Schmidt. Mr. August,0,26.0,248659,13.0,0
555,2,0,Sedgwick. Mr. Charles Frederick Waddington,0,25.0,244361,13.0,0
556,2,0,Sharp. Mr. Percival James R,0,27.0,244358,26.0,0
557,2,1,Shelley. Mrs. William (Imanita Parrish Hall),1,25.0,230433,26.0,0
558,2,1,Silven. Miss. Lyyli Karoliina,1,18.0,250652,13.0,0
559,2,1,Sincock. Miss. Maude,1,20.0,C.A. 33112,36.75,0
560,2,1,Sinkkonen. Miss. Anna,1,30.0,250648,13.0,0
561,2,0,Sjostedt. Mr. Ernst Adolf,0,59.0,237442,13.5,0
562,2,1,Slayter. Miss. Hilda Mary,1,30.0,234818,12.35,2
563,2,0,Slemen. Mr. Richard James,0,35.0,28206,10.5,0
564,2,1,Smith. Miss. Marion Elsie,1,40.0,31418,13.0,0
565,2,0,Sobey. Mr. Samuel James Hayden,0,25.0,C.A. 29178,13.0,0
566,2,0,Stanton. Mr. Samuel Ward,0,41.0,237734,15.0458,1
567,2,0,Stokes. Mr. Philip Joseph,0,25.0,F.C.C. 13540,10.5,0
568,2,0,Swane. Mr. George,0,18.5,248734,13.0,0
569,2,0,Sweet. Mr. George Frederick,0,14.0,220845,65.0,0
570,2,1,Toomey. Miss. Ellen,1,50.0,F.C.C. 13531,10.5,0
571,2,0,Troupiansky. Mr. Moses Aaron,0,23.0,233639,13.0,0
572,2,1,Trout. Mrs. William H (Jessie L),1,28.0,240929,12.65,0
573,2,1,"Troutt. Miss. Edwina Celia ""Winnie""",1,27.0,34218,10.5,0
574,2,0,Turpin. Mr. William John Robert,0,29.0,11668,21.0,0
575,2,0,Turpin. Mrs. William John Robert (Dorothy Ann Wonnacott),1,27.0,11668,21.0,0
576,2,0,Veal. Mr. James,0,40.0,28221,13.0,0
577,2,1,Walcroft. Miss. Nellie,1,31.0,F.C.C. 13528,21.0,0
578,2,0,Ware. Mr. John James,0,30.0,CA 31352,21.0,0
579,2,0,Ware. Mr. William Jeffery,0,23.0,28666,10.5,0
580,2,1,Ware. Mrs. John James (Florence Louise Long),1,31.0,CA 31352,21.0,0
581,2,0,Watson. Mr. Ennis Hastings,0,29.8811345124283,239856,0.0,0
582,2,1,Watt. Miss. Bertha J,1,12.0,C.A. 33595,15.75,0
583,2,1,"Watt. Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,40.0,C.A. 33595,15.75,0
584,2,1,Webber. Miss. Susan,1,32.5,27267,13.0,0
585,2,0,Weisz. Mr. Leopold,0,27.0,228414,26.0,0
586,2,1,Weisz. Mrs. Leopold (Mathilde Francoise Pede),1,29.0,228414,26.0,0
587,2,1,Wells. Master. Ralph Lester,0,2.0,29103,23.0,0
588,2,1,Wells. Miss. Joan,1,4.0,29103,23.0,0
589,2,1,"Wells. Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",1,29.0,29103,23.0,0
590,2,1,West. Miss. Barbara J,1,0.9167,C.A. 34651,27.75,0
591,2,1,West. Miss. Constance Mirium,1,5.0,C.A. 34651,27.75,0
592,2,0,West. Mr. Edwy Arthur,0,36.0,C.A. 34651,27.75,0
593,2,1,West. Mrs. Edwy Arthur (Ada Mary Worth),1,33.0,C.A. 34651,27.75,0
594,2,0,Wheadon. Mr. Edward H,0,66.0,C.A. 24579,10.5,0
595,2,0,"Wheeler. Mr. Edwin ""Frederick""",0,29.8811345124283,SC/PARIS 2159,12.875,0
596,2,1,Wilhelms. Mr. Charles,0,31.0,244270,13.0,0
597,2,1,Williams. Mr. Charles Eugene,0,29.8811345124283,244373,13.0,0
598,2,1,Wright. Miss. Marion,1,26.0,220844,13.5,0
599,2,0,"Yrois. Miss. Henriette (""Mrs Harbeck"")",1,24.0,248747,13.0,0
600,3,0,Abbing. Mr. Anthony,0,42.0,C.A. 5547,7.55,0
601,3,0,Abbott. Master. Eugene Joseph,0,13.0,C.A. 2673,20.25,0
602,3,0,Abbott. Mr. Rossmore Edward,0,16.0,C.A. 2673,20.25,0
603,3,1,Abbott. Mrs. Stanton (Rosa Hunt),1,35.0,C.A. 2673,20.25,0
604,3,1,Abelseth. Miss. Karen Marie,1,16.0,348125,7.65,0
605,3,1,Abelseth. Mr. Olaus Jorgensen,0,25.0,348122,7.65,0
606,3,1,Abrahamsson. Mr. Abraham August Johannes,0,20.0,SOTON/O2 3101284,7.925,0
607,3,1,Abrahim. Mrs. Joseph (Sophie Halaut Easu),1,18.0,2657,7.2292,1
608,3,0,Adahl. Mr. Mauritz Nils Martin,0,30.0,C 7076,7.25,0
609,3,0,Adams. Mr. John,0,26.0,341826,8.05,0
610,3,0,Ahlin. Mrs. Johan (Johanna Persdotter Larsson),1,40.0,7546,9.475,0
611,3,1,Aks. Master. Philip Frank,0,0.8333,392091,9.35,0
612,3,1,Aks. Mrs. Sam (Leah Rosen),1,18.0,392091,9.35,0
613,3,1,Albimona. Mr. Nassef Cassem,0,26.0,2699,18.7875,1
614,3,0,Alexander. Mr. William,0,26.0,3474,7.8875,0
615,3,0,Alhomaki. Mr. Ilmari Rudolf,0,20.0,SOTON/O2 3101287,7.925,0
616,3,0,Ali. Mr. Ahmed,0,24.0,SOTON/O.Q. 3101311,7.05,0
617,3,0,Ali. Mr. William,0,25.0,SOTON/O.Q. 3101312,7.05,0
618,3,0,Allen. Mr. William Henry,0,35.0,373450,8.05,0
619,3,0,Allum. Mr. Owen George,0,18.0,2223,8.3,0
620,3,0,Andersen. Mr. Albert Karvin,0,32.0,C 4001,22.525,0
621,3,1,Andersen-Jensen. Miss. Carla Christine Nielsine,1,19.0,350046,7.8542,0
622,3,0,Andersson. Master. Sigvard Harald Elias,0,4.0,347082,31.275,0
623,3,0,Andersson. Miss. Ebba Iris Alfrida,1,6.0,347082,31.275,0
624,3,0,Andersson. Miss. Ellis Anna Maria,1,2.0,347082,31.275,0
625,3,1,Andersson. Miss. Erna Alexandra,1,17.0,3101281,7.925,0
626,3,0,Andersson. Miss. Ida Augusta Margareta,1,38.0,347091,7.775,0
627,3,0,Andersson. Miss. Ingeborg Constanzia,1,9.0,347082,31.275,0
628,3,0,Andersson. Miss. Sigrid Elisabeth,1,11.0,347082,31.275,0
629,3,0,Andersson. Mr. Anders Johan,0,39.0,347082,31.275,0
630,3,1,"Andersson. Mr. August Edvard (""Wennerstrom"")",0,27.0,350043,7.7958,0
631,3,0,Andersson. Mr. Johan Samuel,0,26.0,347075,7.775,0
632,3,0,Andersson. Mrs. Anders Johan (Alfrida Konstantia Brogren),1,39.0,347082,31.275,0
633,3,0,Andreasson. Mr. Paul Edvin,0,20.0,347466,7.8542,0
634,3,0,Angheloff. Mr. Minko,0,26.0,349202,7.8958,0
635,3,0,Arnold-Franchi. Mr. Josef,0,25.0,349237,17.8,0
636,3,0,Arnold-Franchi. Mrs. Josef (Josefine Franchi),1,18.0,349237,17.8,0
637,3,0,Aronsson. Mr. Ernst Axel Algot,0,24.0,349911,7.775,0
638,3,0,Asim. Mr. Adola,0,35.0,SOTON/O.Q. 3101310,7.05,0
639,3,0,Asplund. Master. Carl Edgar,0,5.0,347077,31.3875,0
640,3,0,Asplund. Master. Clarence Gustaf Hugo,0,9.0,347077,31.3875,0
641,3,1,Asplund. Master. Edvin Rojj Felix,0,3.0,347077,31.3875,0
642,3,0,Asplund. Master. Filip Oscar,0,13.0,347077,31.3875,0
643,3,1,Asplund. Miss. Lillian Gertrud,1,5.0,347077,31.3875,0
644,3,0,Asplund. Mr. Carl Oscar Vilhelm Gustafsson,0,40.0,347077,31.3875,0
645,3,1,Asplund. Mr. Johan Charles,0,23.0,350054,7.7958,0
646,3,1,Asplund. Mrs. Carl Oscar (Selma Augusta Emilia Johansson),1,38.0,347077,31.3875,0
647,3,1,"Assaf Khalil. Mrs. Mariana (""Miriam"")",1,45.0,2696,7.225,1
648,3,0,Assaf. Mr. Gerios,0,21.0,2692,7.225,1
649,3,0,Assam. Mr. Ali,0,23.0,SOTON/O.Q. 3101309,7.05,0
650,3,0,Attalah. Miss. Malake,1,17.0,2627,14.4583,1
651,3,0,Attalah. Mr. Sleiman,0,30.0,2694,7.225,1
652,3,0,Augustsson. Mr. Albert,0,23.0,347468,7.8542,0
653,3,1,Ayoub. Miss. Banoura,1,13.0,2687,7.2292,1
654,3,0,Baccos. Mr. Raffull,0,20.0,2679,7.225,1
655,3,0,Backstrom. Mr. Karl Alfred,0,32.0,3101278,15.85,0
656,3,1,Backstrom. Mrs. Karl Alfred (Maria Mathilda Gustafsson),1,33.0,3101278,15.85,0
657,3,1,Baclini. Miss. Eugenie,1,0.75,2666,19.2583,1
658,3,1,Baclini. Miss. Helene Barbara,1,0.75,2666,19.2583,1
659,3,1,Baclini. Miss. Marie Catherine,1,5.0,2666,19.2583,1
660,3,1,Baclini. Mrs. Solomon (Latifa Qurban),1,24.0,2666,19.2583,1
661,3,1,Badman. Miss. Emily Louisa,1,18.0,A/4 31416,8.05,0
662,3,0,Badt. Mr. Mohamed,0,40.0,2623,7.225,1
663,3,0,Balkic. Mr. Cerin,0,26.0,349248,7.8958,0
664,3,1,Barah. Mr. Hanna Assi,0,20.0,2663,7.2292,1
665,3,0,Barbara. Miss. Saiide,1,18.0,2691,14.4542,1
666,3,0,Barbara. Mrs. (Catherine David),1,45.0,2691,14.4542,1
667,3,0,Barry. Miss. Julia,1,27.0,330844,7.8792,2
668,3,0,Barton. Mr. David John,0,22.0,324669,8.05,0
